"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
High School For Recording Arts,HIGH SCHOOL FOR RECORDING ARTS,4039-07-010,2012,53,25,16,,11,21%,69%,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2006,21,14,12,,fewer than 10,,,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2007,17,16,14,,fewer than 10,,,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2008,23,20,17,,10,43%,59%,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2009,12,11,10,,10,83%,100%,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2010,28,20,18,,fewer than 10,,,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2011,32,31,26,,20,63%,77%,
Higher Ground Academy,HIGHER GROUND ACADEMY,4027-07-010,2012,19,17,16,,fewer than 10,,,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2006,33,27,22,,fewer than 10,,,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2007,18,14,12,,fewer than 10,,,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2008,33,26,23,,12,36%,52%,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2009,21,17,13,,fewer than 10,,,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2010,27,22,21,,fewer than 10,,,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2011,33,26,21,,10,30%,48%,
Hill City Public School District,HILL CITY SENIOR HIGH,0002-01-003,2012,18,11,10,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2006,22,15,fewer than 10,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2007,28,20,11,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2008,27,20,fewer than 10,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2009,33,24,fewer than 10,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2010,22,18,fewer than 10,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2011,31,24,fewer than 10,,fewer than 10,,,
Hills-Beaver Creek School District,HILLS-BEAVER CREEK SECONDARY,0671-01-020,2012,29,24,fewer than 10,,fewer than 10,,,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2006,77,47,40,,fewer than 10,,,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2007,68,46,40,,14,21%,35%,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2008,62,39,33,,10,16%,30%,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2009,74,48,35,,fewer than 10,,,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2010,62,48,38,,11,18%,29%,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2011,70,45,38,,11,16%,29%,
Hinckley-Finlayson School District,HINCKLEY-FINLAYSON SECONDARY,2165-01-020,2012,58,42,37,,10,17%,27%,
Hmong College Prep Academy,HMONG COLLEGE PREP ACADEMY HS,4103-07-010,2007,38,20,14,,fewer than 10,,,
Hmong College Prep Academy,HMONG COLLEGE PREP ACADEMY HS,4103-07-010,2008,83,50,41,,15,18%,37%,
Hmong College Prep Academy,HMONG COLLEGE PREP ACADEMY HS,4103-07-010,2009,57,36,30,,17,30%,57%,
Hmong College Prep Academy,HMONG COLLEGE PREP ACADEMY HS,4103-07-010,2010,52,32,26,,12,23%,46%,
Hmong College Prep Academy,HMONG COLLEGE PREP ACADEMY HS,4103-07-010,2011,64,41,35,,21,33%,60%,
Hmong College Prep Academy,HMONG COLLEGE PREP ACADEMY HS,4103-07-010,2012,61,37,30,,17,28%,57%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2006,579,481,264,,55,9%,21%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2007,584,512,285,,68,12%,24%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2008,596,522,302,,82,14%,27%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2009,537,472,244,,58,11%,24%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2010,549,493,279,,74,13%,27%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2011,492,453,279,,57,12%,20%,
Hopkins Public School District,HOPKINS SENIOR HIGH,0270-01-282,2012,478,414,229,,54,11%,24%,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2006,20,fewer than 10,fewer than 10,,fewer than 10,,,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2007,13,fewer than 10,fewer than 10,,fewer than 10,,,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2008,17,fewer than 10,fewer than 10,,fewer than 10,,,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2009,10,fewer than 10,fewer than 10,,fewer than 10,,,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2010,14,fewer than 10,fewer than 10,,fewer than 10,,,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2011,15,fewer than 10,fewer than 10,,fewer than 10,,,
Hopkins Public School District,TRANSITION PLUS,0270-01-093,2012,18,fewer than 10,fewer than 10,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2006,31,23,16,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2007,30,24,18,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2008,19,19,12,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2009,46,40,19,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2010,34,30,16,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2011,32,25,fewer than 10,,fewer than 10,,,
Houston Public School District,HOUSTON SECONDARY,0294-01-020,2012,32,28,11,,fewer than 10,,,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2006,76,49,40,,fewer than 10,,,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2007,86,65,51,,17,20%,33%,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2008,90,68,58,,15,17%,26%,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2009,74,56,52,,13,18%,25%,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2010,62,49,45,,12,19%,27%,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2011,86,69,58,,19,22%,33%,
Howard Lake-Waverly-Winsted,HOWARD LAKE-WAVERLY-WINSTED SEC.,2687-01-002,2012,77,64,54,,12,16%,22%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2006,213,173,146,,28,13%,19%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2007,231,203,158,,51,22%,32%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2008,226,184,146,,35,15%,24%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2009,196,167,132,,31,16%,23%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2010,216,191,144,,41,19%,28%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2011,202,169,140,,44,22%,31%,
Hutchinson Public School District,HUTCHINSON SENIOR HIGH,0423-01-030,2012,193,162,124,,25,13%,20%,
Intermediate School District 287,271 SHAPE ALC,0287-06-620,2010,26,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 287,271 SHAPE ALC,0287-06-620,2011,31,11,11,,fewer than 10,,,
Intermediate School District 287,279 OSSEO IC ALC,0287-06-703,2006,36,15,15,,fewer than 10,,,
Intermediate School District 287,279 OSSEO IC ALC,0287-06-703,2007,22,10,10,,fewer than 10,,,
Intermediate School District 287,279 OSSEO IC ALC,0287-06-703,2008,43,19,19,,fewer than 10,,,
Intermediate School District 287,279 OSSEO IC ALC,0287-06-703,2009,40,19,19,,11,28%,58%,
Intermediate School District 287,279 OSSEO IC ALC,0287-06-703,2010,32,14,14,,fewer than 10,,,
Intermediate School District 287,279 OSSEO IC ALC,0287-06-703,2011,49,20,20,,14,29%,70%,
Intermediate School District 287,279 OSSEO SR HI ALC,0287-06-702,2006,55,31,22,,18,33%,82%,
Intermediate School District 287,279 OSSEO SR HI ALC,0287-06-702,2007,50,23,17,,fewer than 10,,,
Intermediate School District 287,279 OSSEO SR HI ALC,0287-06-702,2008,62,34,28,,17,27%,61%,
Intermediate School District 287,279 OSSEO SR HI ALC,0287-06-702,2009,58,35,25,,11,19%,44%,
Intermediate School District 287,279 OSSEO SR HI ALC,0287-06-702,2010,74,32,23,,16,22%,70%,
Intermediate School District 287,279 OSSEO SR HI ALC,0287-06-702,2011,41,18,14,,10,24%,71%,
Intermediate School District 287,281 HIGHVIEW ALTERNATIVE PROGRAM,0287-06-650,2008,20,12,10,,fewer than 10,,,
Intermediate School District 287,281 HIGHVIEW ALTERNATIVE PROGRAM,0287-06-650,2009,17,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 287,281 HIGHVIEW ALTERNATIVE PROGRAM,0287-06-650,2011,37,21,13,,11,30%,85%,
Intermediate School District 287,PHASE NORTH,0287-06-463,2006,14,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 287,PHASE NORTH,0287-06-463,2007,18,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 287,PHASE NORTH,0287-06-463,2008,20,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 287,SOUTH ALTERNATIVE CENTER,0287-06-622,2011,25,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 287,SOUTH ALTERNATIVE CENTER,0287-06-622,2012,22,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2006,22,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2007,22,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2008,25,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2009,35,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2010,37,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2011,30,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,917 TRANSITIONAL EDUCATION SERV ALT,0917-06-030,2012,34,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2006,133,44,44,,20,15%,45%,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2007,90,36,36,,25,28%,69%,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2008,116,42,42,,20,17%,48%,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2009,60,26,26,,10,17%,38%,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2010,62,19,19,,fewer than 10,,,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2011,78,21,21,,fewer than 10,,,
Intermediate School District 917,DAKOTA CTY. ALC,0917-06-071,2012,54,10,10,,fewer than 10,,,
Intermediate School District 917,WEST HEIGHTS ALC,0917-06-080,2008,14,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,WEST HEIGHTS ALC,0917-06-080,2009,11,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,WEST HEIGHTS ALC,0917-06-080,2010,14,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,WEST HEIGHTS ALC,0917-06-080,2011,13,fewer than 10,fewer than 10,,fewer than 10,,,
Intermediate School District 917,WEST HEIGHTS ALC,0917-06-080,2012,11,fewer than 10,fewer than 10,,fewer than 10,,,
International Falls School District,FALLS SECONDARY,0361-01-001,2006,95,74,57,,fewer than 10,,,
International Falls School District,FALLS SECONDARY,0361-01-001,2007,92,71,57,,25,27%,44%,
International Falls School District,FALLS SECONDARY,0361-01-001,2008,95,75,56,,14,15%,25%,
International Falls School District,FALLS SECONDARY,0361-01-001,2009,91,62,42,,11,12%,26%,
International Falls School District,FALLS SECONDARY,0361-01-001,2010,96,80,70,,12,13%,17%,
International Falls School District,FALLS SECONDARY,0361-01-001,2011,111,81,68,,22,20%,32%,
International Falls School District,FALLS SECONDARY,0361-01-001,2012,90,69,51,,11,12%,22%,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2006,43,17,14,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2007,31,fewer than 10,fewer than 10,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2008,23,fewer than 10,fewer than 10,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2009,42,18,14,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2010,35,17,10,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2011,15,fewer than 10,fewer than 10,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY ALTERNATIVE PROGRAM,0199-01-226,2012,31,13,fewer than 10,,fewer than 10,,,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2006,230,62,52,,19,8%,37%,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2007,232,93,78,,22,9%,28%,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2008,230,199,152,,49,21%,32%,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2009,206,183,127,,42,20%,33%,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2010,246,213,147,,56,23%,38%,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2011,228,192,145,,43,19%,30%,
Inver Grove Heights Schools,SIMLEY SENIOR HIGH,0199-01-026,2012,209,182,138,,31,15%,22%,
Isle Public School District,ISLE SECONDARY,0473-01-020,2006,37,22,18,,fewer than 10,,,
Isle Public School District,ISLE SECONDARY,0473-01-020,2007,31,23,22,,fewer than 10,,,
Isle Public School District,ISLE SECONDARY,0473-01-020,2008,45,25,23,,fewer than 10,,,
Isle Public School District,ISLE SECONDARY,0473-01-020,2009,35,25,21,,fewer than 10,,,
Isle Public School District,ISLE SECONDARY,0473-01-020,2010,36,30,24,,10,28%,42%,
Isle Public School District,ISLE SECONDARY,0473-01-020,2011,23,15,14,,fewer than 10,,,
Isle Public School District,ISLE SECONDARY,0473-01-020,2012,30,20,20,,10,33%,50%,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2006,36,31,24,,fewer than 10,,,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2007,26,20,fewer than 10,,fewer than 10,,,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2008,32,22,14,,fewer than 10,,,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2009,23,19,12,,fewer than 10,,,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2010,23,19,10,,fewer than 10,,,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2011,28,25,fewer than 10,,fewer than 10,,,
Ivanhoe Public School District,LINCOLN SECONDARY,0403-01-020,2012,29,23,16,,fewer than 10,,,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2006,97,82,49,,10,10%,20%,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2007,106,88,54,,12,11%,22%,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2008,100,75,49,,10,10%,20%,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2009,66,59,34,,fewer than 10,,,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2010,90,68,45,,12,13%,27%,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2011,94,81,34,,fewer than 10,,,
Jackson County Central School Dist.,JACKSON COUNTY CENTRAL SENIOR HIGH,2895-01-113,2012,76,51,22,,fewer than 10,,,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2006,39,34,31,,fewer than 10,,,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2007,40,35,31,,10,25%,32%,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2008,49,37,27,,13,27%,48%,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2009,35,27,25,,fewer than 10,,,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2010,38,29,20,,fewer than 10,,,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2011,38,32,27,,fewer than 10,,,
Janesville-Waldorf-Pemberton,JANESVILLE-WALDORF-PEMBERTON SEC,2835-01-020,2012,44,38,30,,14,32%,47%,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2006,115,82,66,,fewer than 10,,,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2007,117,87,73,,16,14%,22%,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2008,78,65,46,,14,18%,30%,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2009,107,92,65,,18,17%,28%,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2010,112,87,65,,14,13%,22%,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2011,112,92,70,,23,21%,33%,
Jordan Public School District,JORDAN SECONDARY,0717-01-127,2012,121,94,60,,fewer than 10,,,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2006,111,86,66,,22,20%,33%,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2007,112,92,73,,19,17%,26%,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2008,142,120,96,,31,22%,32%,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2009,129,107,88,,25,19%,28%,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2010,129,113,82,,24,19%,29%,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2011,133,114,82,,24,18%,29%,
Kasson-Mantorville School District,KASSON-MANTORVILLE SENIOR HIGH,0204-01-030,2012,139,115,78,,22,16%,28%,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2006,18,15,13,,fewer than 10,,,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2007,12,fewer than 10,fewer than 10,,fewer than 10,,,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2008,12,fewer than 10,fewer than 10,,fewer than 10,,,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2009,18,fewer than 10,fewer than 10,,fewer than 10,,,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2010,16,13,fewer than 10,,fewer than 10,,,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2011,13,10,fewer than 10,,fewer than 10,,,
Kelliher Public School District,KELLIHER SECONDARY,0036-01-020,2012,13,fewer than 10,fewer than 10,,fewer than 10,,,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2006,69,48,39,,fewer than 10,,,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2007,64,52,44,,21,33%,48%,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2008,64,45,38,,fewer than 10,,,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2009,64,56,36,,18,28%,50%,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2010,55,43,33,,16,29%,48%,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2011,44,31,23,,fewer than 10,,,
Kenyon-Wanamingo School District,KENYON-WANAMINGO SENIOR HIGH,2172-01-020,2012,59,48,32,,10,17%,31%,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2006,37,24,20,,10,27%,50%,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2007,52,37,30,,fewer than 10,,,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2008,35,30,23,,11,31%,48%,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2009,41,28,23,,fewer than 10,,,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2010,52,39,32,,12,23%,38%,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2011,52,44,36,,10,19%,28%,
Kerkhoven-Murdock-Sunburg,KERKHOVEN SECONDARY,0775-01-050,2012,26,23,18,,fewer than 10,,,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2006,69,48,43,,fewer than 10,,,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2007,58,41,37,,10,17%,27%,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2008,65,50,41,,fewer than 10,,,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2009,54,40,35,,fewer than 10,,,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2010,59,40,36,,10,17%,28%,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2011,57,37,31,,10,18%,32%,
Kimball Public School District,KIMBALL SECONDARY,0739-01-020,2012,62,44,32,,fewer than 10,,,
